observation_date,MDOAH
2013-07-01,13325872.44
2013-10-01,13343998.25
2014-01-01,13333945.66
2014-04-01,13363286.37
2014-07-01,13416644.22
2014-10-01,13489814.41
2015-01-01,13513713.2
2015-04-01,13622884.99
2015-07-01,13727940.02
2015-10-01,13880721.43
2016-01-01,13930570.29
2016-04-01,14046318.57
2016-07-01,14210483.19
2016-10-01,14332418.23
2017-01-01,14430243.63
2017-04-01,14573882.36
2017-07-01,14707221.55
2017-10-01,14888679.91
2018-01-01,14979025.26
2018-04-01,15144935.79
2018-07-01,15290110.0
2018-10-01,15423969.4
2019-01-01,15512605.1
2019-04-01,15653703.54
2019-07-01,15841071.29
