return,volatility,sharpe_ratio,AAPL,MSFT,GOOGL
0.012964775891499549,0.23969808859028982,-0.11404022564078053,8.368032287063565e-14,0.0,0.9999999999999163
0.02207189861018657,0.2352277787483275,-0.07749127882262517,0.03844585804384815,0.0,0.9615541419561517
0.031179021838503226,0.23119593860889837,-0.03945129060820675,0.07689171823902191,0.0,0.9231082817609781
0.04028614609375037,0.2276258685464581,-6.086261784786777e-05,0.11533758276939823,1.1102230246251565e-16,0.8846624172306019
0.04939326829513661,0.22453959654103098,0.0404973930443264,0.15378343862936975,0.0,0.8462165613706303
0.058500390639744805,0.22195730392601284,0.0819995121485694,0.19222929509395473,0.0,0.8077707049060452
0.06760751475176993,0.2198967461244211,0.12418335074553082,0.23067515901971736,0.0,0.7693248409802826
0.07671463829444063,0.21817967306187014,0.1669020664638835,0.2340653628834514,0.018608546748114914,0.7473260903684337
0.08582176154747781,0.21661246399490486,0.21015301108688078,0.23685056370168908,0.03753824578531313,0.7256111905129978
0.09492888475227272,0.21519833544681402,0.2538536584813602,0.23994817560699017,0.05630210796488863,0.7037497164281211
0.10403600795649173,0.21394033904942436,0.2979148684146353,0.24308112197726334,0.075047213597521,0.6818716644252157
0.1131431311349835,0.21284124771985174,0.34224160925264774,0.24621275397565348,0.09379301687872789,0.6599942291456186
0.12225025434013828,0.21190353402736054,0.3867337782557087,0.2493431271646878,0.11253948843173041,0.6381173844035818
0.13135737754806498,0.21112934819870302,0.43128716270353334,0.25247210796244496,0.1312866991120994,0.6162411929254558
0.14046450079372524,0.21052049432442616,0.4757945354211693,0.25559958598950555,0.15003470759073653,0.5943657064197579
0.14957162399716814,0.21007840987938528,0.5201468540241975,0.2587256194913208,0.16878348277012642,0.5724908977385528
0.1586787471631909,0.20980414904809394,0.5642345382600352,0.26185013417587977,0.18753306409734571,0.5506168017267745
0.16778587036823,0.20969837027803248,0.6079487894884471,0.26497309704656596,0.20628346925922975,0.5287434336942043
0.17689299360754693,0.2097613284255287,0.6511829164737645,0.2680945320954191,0.2250346855094984,0.5068707823950825
0.1860001168110184,0.20999287169414477,0.6938336317588487,0.27121442008137586,0.24378672290471962,0.48499885701390455
0.19510723994809873,0.21039244345313668,0.7358022817135106,0.27433280810393923,0.26253955637467874,0.46312763552138203
0.20421436321796144,0.21095908891702725,0.7769959761365434,0.2774496886414098,0.28129319035843753,0.44125712100015274
0.21332148639341977,0.21169146640662428,0.8173285835767896,0.2805652348404155,0.3000475324357054,0.419387232723879
0.22242860962480263,0.21258786305043478,0.8567215786048616,0.28367957465852967,0.3188025150198113,0.39751791032165906
0.23153573277938566,0.21364621428593103,0.8951047104604786,0.2867937355095367,0.3375575924326807,0.3756486720577827
0.24064285600759006,0.21486412762568485,0.9324164913959377,0.28986903796464186,0.35633329715961043,0.35379766487574776
0.24974997923505204,0.21623890499846957,0.968604512849038,0.2930138623978128,0.3750720976284664,0.33191403997372076
0.2588571024389588,0.21776757747260284,1.0036255395569862,0.29612170519581565,0.3938305289552893,0.31004776584889504
0.2679642256425242,0.2194469283069992,1.0374454880682098,0.29922947694089225,0.412588997998275,0.2881815250608327
0.27707134888087165,0.22127352682824888,1.0700392056599346,0.30233635558069094,0.4313479412050552,0.26631570321425385
0.286178472049543,0.22324375866236335,1.101390128542911,0.30544236503257544,0.4501073456455285,0.2444502893218961
0.29528559525303677,0.22535385657109994,1.1314898228625963,0.30854764625567416,0.46886713672872443,0.22258521701560144
0.3043927184821204,0.22759993045491697,1.1603374304827916,0.3116521761748172,0.4876273266829146,0.20072049714226822
0.31349984163762323,0.22997799784934042,1.1879390384840103,0.31486175321970883,0.5063317544503125,0.17880649232997867
0.3226069648633239,0.2324840100782024,1.2143070173658919,0.31806846635891917,0.5250377026181478,0.1568938310229331
0.33171408806674196,0.23511387284383475,1.239459350237076,0.32123873438210293,0.5437629968470806,0.13499826877081642
0.34082121128271914,0.23786347593947402,1.2634189006772474,0.32437085915073044,0.5625085386357384,0.1131206022135311
0.3499283344642594,0.24072871523917963,1.2862127152409861,0.32746319515599864,0.5812752013619918,0.09126160348200961
0.3590354576834138,0.24370551242663283,1.3078713505890376,0.3305142758500747,0.6000637636728782,0.06942196047704711
0.3681425811416423,0.24679067282685344,1.328423709803872,0.33583288794003485,0.6176486559338848,0.046518456126080354
0.3772497043652859,0.24997770378417913,1.3479190314356793,0.33667070055393133,0.6376120843188875,0.02571721512718117
0.3863568275889296,0.25326578159802626,1.366378140013315,0.337508513167828,0.65757551270389,0.004915974128282041
0.39546395080836627,0.25684374575867225,1.3828016320166685,0.30448819228130913,0.6955118077186909,0.0
0.40457107402650083,0.26107206673090483,1.3952893489825797,0.2609898788199329,0.739010121180067,0.0
0.41367819724463556,0.26592831368244096,1.4040558226925253,0.21749156535855663,0.7825084346414435,0.0
0.42278532046277034,0.2713787790300994,1.4094149949003485,0.17399325189718012,0.82600674810282,0.0
0.43189244368090496,0.2773884372081656,1.4117114888499667,0.13049493843580376,0.8695050615641964,0.0
0.4409995668990397,0.28392178180750666,1.4113026635297254,0.08699662497442731,0.9130033750255728,5.551115123125783e-17
0.4501066901171744,0.29094353571054055,1.408543720060138,0.043498311513051,0.9565016884869493,0.0
0.45921381292738195,0.2984192239990098,1.403776229003169,5.4263424266107196e-14,0.9999999999999456,0.0
